#options: 576x1024 fps=29/1 timebase=1/29 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1100149 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1839830 mv:96463 misc:155 imb:2304 pmb:0 smb:0 d:- ref:;
in:33 out:33 type:B dur:2 cpbdur:2 q:0.00 aq:0.64 tex:1106657 mv:26258 misc:341 imb:153 pmb:2137 smb:14 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:0.00 aq:1.18 tex:884725 mv:21577 misc:378 imb:78 pmb:2204 smb:22 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:0.00 aq:1.21 tex:782589 mv:14944 misc:483 imb:36 pmb:2226 smb:42 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:0.00 aq:0.69 tex:1643143 mv:19287 misc:290 imb:368 pmb:1934 smb:2 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:0.00 aq:0.69 tex:1004064 mv:20371 misc:301 imb:60 pmb:2239 smb:5 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:0.00 aq:1.18 tex:855410 mv:15484 misc:410 imb:32 pmb:2246 smb:26 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:0.00 aq:1.35 tex:787040 mv:15286 misc:402 imb:17 pmb:2264 smb:23 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:0.00 aq:0.58 tex:1806734 mv:18635 misc:319 imb:252 pmb:2052 smb:0 d:- ref:0 w:6,63,3,5,32,0,31,4 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:0.00 aq:0.86 tex:1032488 mv:18273 misc:343 imb:51 pmb:2237 smb:16 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:0.00 aq:1.23 tex:841615 mv:13819 misc:390 imb:8 pmb:2265 smb:31 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:0.00 aq:1.21 tex:829064 mv:14526 misc:362 imb:16 pmb:2269 smb:19 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:0.00 aq:0.56 tex:1621531 mv:16660 misc:289 imb:214 pmb:2090 smb:0 d:- ref:0 w:6,63,2 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:0.00 aq:0.70 tex:923873 mv:16249 misc:318 imb:19 pmb:2271 smb:14 d:- ref:0 ;
in:44 out:46 type:b dur:2 cpbdur:2 q:0.00 aq:1.27 tex:803165 mv:12750 misc:493 imb:13 pmb:2224 smb:67 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:0.00 aq:1.21 tex:819765 mv:14815 misc:348 imb:40 pmb:2245 smb:19 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:0.00 aq:0.24 tex:1559639 mv:15770 misc:279 imb:144 pmb:2156 smb:4 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:0.00 aq:0.85 tex:916888 mv:16260 misc:340 imb:7 pmb:2284 smb:13 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:0.00 aq:1.34 tex:865511 mv:13935 misc:402 imb:34 pmb:2246 smb:24 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:0.00 aq:1.25 tex:901965 mv:14285 misc:318 imb:34 pmb:2258 smb:12 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:0.00 aq:0.55 tex:1587979 mv:15759 misc:254 imb:163 pmb:2139 smb:2 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:0.00 aq:0.75 tex:1047188 mv:17977 misc:339 imb:27 pmb:2267 smb:10 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:0.00 aq:1.34 tex:825346 mv:13431 misc:383 imb:41 pmb:2245 smb:18 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:0.00 aq:1.26 tex:913735 mv:14514 misc:327 imb:27 pmb:2267 smb:10 d:- ref:0 ;
in:58 out:56 type:P dur:2 cpbdur:2 q:0.00 aq:0.40 tex:1647377 mv:14875 misc:268 imb:135 pmb:2169 smb:0 d:- ref:0 ;
in:56 out:57 type:B dur:2 cpbdur:2 q:0.00 aq:0.85 tex:952652 mv:13174 misc:318 imb:1 pmb:2292 smb:11 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:0.00 aq:1.21 tex:930850 mv:14163 misc:283 imb:30 pmb:2270 smb:4 d:- ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:0.00 aq:0.47 tex:1488733 mv:14474 misc:281 imb:181 pmb:2122 smb:1 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:0.00 aq:1.20 tex:965089 mv:15898 misc:293 imb:6 pmb:2290 smb:8 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:0.00 aq:0.44 tex:2473661 mv:19580 misc:335 imb:584 pmb:1720 smb:0 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:0.00 aq:0.43 tex:1176681 mv:16616 misc:287 imb:26 pmb:2273 smb:5 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:0.00 aq:1.21 tex:903325 mv:13743 misc:300 imb:12 pmb:2282 smb:10 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:0.00 aq:1.06 tex:749717 mv:11257 misc:354 imb:11 pmb:2276 smb:17 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.35 tex:1426372 mv:14494 misc:302 imb:2156 pmb:148 smb:0 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:0.00 aq:0.68 tex:1807884 mv:35049 misc:307 imb:236 pmb:2067 smb:1 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:0.00 aq:0.99 tex:814663 mv:12859 misc:494 imb:3 pmb:2261 smb:40 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:0.00 aq:0.76 tex:1445917 mv:33728 misc:315 imb:315 pmb:1986 smb:3 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.71 tex:1080239 mv:22870 misc:339 imb:713 pmb:1588 smb:3 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:0.00 aq:0.80 tex:1337599 mv:23546 misc:311 imb:1019 pmb:1283 smb:2 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:0.00 aq:0.66 tex:1309987 mv:19405 misc:296 imb:1918 pmb:386 smb:0 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:0.65 tex:1242329 mv:37472 misc:295 imb:655 pmb:1645 smb:4 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.61 tex:1497055 mv:27774 misc:283 imb:1095 pmb:1209 smb:0 d:- ref:0 ;
in:74 out:74 type:I dur:2 cpbdur:2 q:0.00 aq:0.85 tex:1181383 mv:84164 misc:213 imb:2304 pmb:0 smb:0 d:- ref:;
in:75 out:75 type:P dur:2 cpbdur:2 q:0.00 aq:0.71 tex:1220718 mv:24718 misc:356 imb:843 pmb:1448 smb:13 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:0.00 aq:0.50 tex:1261645 mv:23224 misc:403 imb:1369 pmb:909 smb:26 d:- ref:0 ;
